decision_idx,agent_x,agent_y,chosen_idx,subgoal_x,subgoal_y,R,k,termination,q_selected,num_valid,timestamp
10,-3.406763276126849,-3.073449522669609,1,5.719643134462145,7.962250548245428,2.623663767363693,10,MAX_STEPS,9.405389785766602,7,2629673
20,-1.5717084144506477,-1.3764937359177796,4,8.454627544558683,7.644633529205729,2.6278548243332924,10,MAX_STEPS,9.514156341552734,7,2629673
30,-1.8007002023232836,0.5599143489929472,0,-3.899965422304825,0.9352939631358975,0.6869021023319863,10,MAX_STEPS,9.62033748626709,7,2629673
31,-1.9124768744386094,0.7835345081262932,0,-3.899965422304825,0.9352939631358975,2.5441191312155733,1,SUBGOAL_REACHED,9.694090843200684,7,2629673
41,0.34087192824943036,0.028070199008478958,2,7.745417792085655,-4.184520016942785,1.828810163943401,10,MAX_STEPS,9.778837203979492,6,2629673
51,1.9112567906218727,1.8941815169902856,1,5.719643134462145,7.962250548245428,2.5177336581623053,10,MAX_STEPS,9.860965728759766,7,2629673
61,3.8243789570970983,3.4984718297771837,3,9.71735803852219,8.12265168862908,2.618451495423164,10,MAX_STEPS,,7,2629673
71,1.614887114968396,2.917170098846772,0,-3.899965422304825,0.9352939631358975,0.2648435182139597,10,MAX_STEPS,10.032614707946777,7,2629673
81,3.182781814465454,4.585177616557478,6,15.0,15.0,2.3003294964134624,10,MAX_STEPS,10.099396705627441,7,2629673
91,4.090701441867626,4.817646939623147,4,8.454627544558683,7.644633529205729,0.7742007147931345,10,MAX_STEPS,10.169419288635254,7,2629673
101,4.523969102569355,4.51765413214359,3,9.71735803852219,8.12265168862908,-0.41108654708371384,10,MAX_STEPS,10.229185104370117,7,2629673
108,5.1828046191617325,6.125658065311774,1,5.719643134462145,7.962250548245428,4.10239636958831,7,SUBGOAL_REACHED,10.265979766845703,7,2629673
118,7.23625323614896,6.639389630132532,3,9.71735803852219,8.12265168862908,1.8685053897446209,10,MAX_STEPS,,6,2629673
128,8.1717221783174,6.014392118777764,3,9.71735803852219,8.12265168862908,-0.6387975354983262,10,MAX_STEPS,10.374541282653809,4,2629673
135,6.961029510794555,6.626976119515931,1,5.719643134462145,7.962250548245428,2.7548533151659114,7,SUBGOAL_REACHED,10.40943431854248,4,2629673
145,8.749679954415724,6.261386605948643,3,9.71735803852219,8.12265168862908,0.5055353873176767,10,MAX_STEPS,10.45384407043457,4,2629673
155,8.823813413879703,3.849147660083333,2,7.745417792085655,-4.184520016942785,0.3708565750117146,10,MAX_STEPS,10.490196228027344,4,2629673
165,7.256510523627288,5.567257359082355,1,5.719643134462145,7.962250548245428,1.4956657083874876,10,MAX_STEPS,10.51827335357666,6,2629673
175,4.9118925367103605,4.865059771630854,0,-3.899965422304825,0.9352939631358975,0.36787949148411175,10,MAX_STEPS,10.547123908996582,7,2629673
