mihir@mihir-jetson:~/Data/DTQN/fov$ python train_dtqn.py 500 --eval-every 25 --save-every 10 --video-every 25
[ep   48/500] OK   | dec= 67 R= +28.32 gdist=  1.9 | eps=0.5094 buf=  3372 upd=  3372 | 5.7s
[ep   49/500] OK   | dec= 65 R= +62.85 gdist=  1.8 | eps=0.5028 buf=  3437 upd=  3437 | 5.2s
MovieWriter ffmpeg unavailable; trying to use <class 'matplotlib.animation.PillowWriter'> instead.
[ep   50/500] OK   | dec= 26 R=+109.19 gdist=  1.9 | eps=0.5002 buf=  3463 upd=  3463 | 53.6s [video saved]
  >>> Last 25 eps: success=84.00%  avg_R=+88.37  total_time=409s
[ep   51/500] OK   | dec= 40 R= +98.36 gdist=  1.8 | eps=0.4963 buf=  3503 upd=  3503 | 3.1s
[ep   52/500] OK   | dec= 17 R= +84.62 gdist=  1.9 | eps=0.4946 buf=  3520 upd=  3520 | 1.4s
[ep   53/500] OK   | dec= 33 R= +88.65 gdist=  1.8 | eps=0.4913 buf=  3553 upd=  3553 | 2.8s
[ep   54/500] OK   | dec= 24 R= +57.08 gdist=  1.9 | eps=0.4890 buf=  3577 upd=  3577 | 2.0s
[ep   55/500] OK   | dec= 69 R=+131.07 gdist=  1.9 | eps=0.4823 buf=  3646 upd=  3646 | 5.7s
[ep   56/500] OK   | dec=100 R=+154.33 gdist=  1.9 | eps=0.4727 buf=  3746 upd=  3746 | 8.5s
[ep   57/500] OK   | dec= 79 R= +57.68 gdist=  2.0 | eps=0.4653 buf=  3825 upd=  3825 | 6.7s
[ep   58/500] OK   | dec= 66 R= +85.45 gdist=  1.9 | eps=0.4592 buf=  3891 upd=  3891 | 5.6s
[ep   59/500] OK   | dec= 32 R=+101.15 gdist=  1.9 | eps=0.4563 buf=  3923 upd=  3923 | 2.5s
[ep   60/500] OK   | dec= 36 R=+103.15 gdist=  1.9 | eps=0.4530 buf=  3959 upd=  3959 | 2.7s
[ep   61/500] OK   | dec= 40 R= +54.52 gdist=  2.0 | eps=0.4494 buf=  3999 upd=  3999 | 3.4s
[ep   62/500] OK   | dec= 41 R= +56.67 gdist=  1.9 | eps=0.4457 buf=  4040 upd=  4040 | 3.6s
[ep   63/500] OK   | dec= 28 R= +83.54 gdist=  1.9 | eps=0.4432 buf=  4068 upd=  4068 | 2.2s
[ep   64/500] OK   | dec= 23 R= +75.61 gdist=  1.9 | eps=0.4412 buf=  4091 upd=  4091 | 1.6s
[ep   65/500] OK   | dec= 52 R= +58.79 gdist=  1.9 | eps=0.4366 buf=  4143 upd=  4143 | 4.3s
